oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err,f_sci,f_sci_err,f_diff_corr,f_diff_corr_err,snr_corr,diff_sign,diff_mag,diff_mag_err
304204400005857,zr,58359.46066,19.138287,0.09094171,0.09338355,18.157,0.012,2.2114911207777163e-08,1.8523540367537528e-09,1.621313958313711e-08,1.9510541911648073e-09,8.309938112717225,1.0,19.475332195820418,0.130655149296065
304104400003613,zg,58362.50163,19.134785,0.08454063,-0.011841059,18.11,0.013,2.2186357156907995e-08,1.7275362129679103e-09,1.628458553226794e-08,1.832969816036081e-09,8.884262790253928,1.0,19.470558226051363,0.12220892497115086
304104400003613,zg,58365.46447,19.086586,0.08159521,-0.039120715,18.11,0.013,2.319346312338534e-08,1.743034344702055e-09,1.7291691498745286e-08,1.8475837480868786e-09,9.359084001821486,1.0,19.405406303304524,0.11600881074972948
304204400005857,zr,58365.52013,18.87237,0.07428972,0.1009253,18.157,0.012,2.8252182305447495e-08,1.9331092614049937e-09,2.235041068080744e-08,2.0278827372196835e-09,11.021549851275344,1.0,19.12678623113214,0.09851030203637787
304204400005857,zr,58368.47929,18.863,0.07375986,0.10203625,18.157,0.012,2.8497056273411507e-08,1.9359572536380557e-09,2.2595284648771452e-08,2.030597810325235e-09,11.12740520741152,1.0,19.114955457959407,0.09757317043105107
304104400003613,zg,58368.49917,18.93549,0.07303106,-0.08086933,18.11,0.013,2.6656553649452816e-08,1.7930288779493063e-09,2.075478202481276e-08,1.8948217690706387e-09,10.95342177485772,1.0,19.207204558498297,0.09912301626605015
304204400005857,zr,58371.44829,18.80377,0.07049553,0.09953036,18.157,0.012,3.009483731623578e-08,1.9540211494968415e-09,2.4193065691595722e-08,2.047827051307017e-09,11.814018022740054,1.0,19.04077273829509,0.09190236570388371
304104400003613,zg,58371.5021,18.740223,0.06336483,-0.050800037,18.11,0.013,3.1908824105701256e-08,1.8622361546910759e-09,2.60070524810612e-08,1.960438847611024e-09,13.265934059995391,1.0,18.962272164853214,0.08184393197251479
304104400003613,zg,58374.44496,18.730087,0.06290328,-0.061715696,18.11,0.013,3.220810697506704e-08,1.866010880399745e-09,2.6306335350426985e-08,1.964024843313869e-09,13.394095008513595,1.0,18.949849119612658,0.08106081105651489
304204400005857,zr,58374.48636,18.637787,0.062105253,0.10394844,18.157,0.012,3.506591695887258e-08,2.0058073359476098e-09,2.9164145334232526e-08,2.097298273571283e-09,13.905578286950941,1.0,18.837876865508655,0.07807918393275234
304204400005857,zr,58377.4557,18.554329,0.05828593,0.110546164,18.157,0.012,3.7867653975798e-08,2.0328615912640335e-09,3.196588235115794e-08,2.123187045132947e-09,15.055612940194981,1.0,18.738283258190243,0.07211504500487434
304204400005857,zr,58380.4451,18.476307,0.05494231,0.106176056,18.157,0.012,4.068901719456918e-08,2.059016349001059e-09,3.4787245569929124e-08,2.1482423757196223e-09,16.193352278639427,1.0,18.646449892570367,0.06704826684900315
304104400003613,zg,58380.48529,18.4895,0.053008273,-0.034900833,18.11,0.013,4.0197588496687185e-08,1.962543696743294e-09,3.4295816872047126e-08,2.0559607829456937e-09,16.681162966012188,1.0,18.661897121188723,0.0650875605597951
304204400005857,zr,58383.4172,18.388756,0.05143827,0.107863255,18.157,0.012,4.4105992572747726e-08,2.089583035577597e-09,3.820422094810767e-08,2.1775569434477534e-09,17.544533594431954,1.0,18.54472162981484,0.061884586382091454
304204400005857,zr,58386.42384,18.441643,0.05352431,0.10826007,18.157,0.012,4.200904415389621e-08,2.0709497318436847e-09,3.610727252925615e-08,2.159682794117522e-09,16.718785104740398,1.0,18.606013290164643,0.0649410945805077
304204400005857,zr,58387.47665,18.351868,0.05003707,0.11446308,18.157,0.012,4.563024493562184e-08,2.1029083767815287e-09,3.972847331098178e-08,2.1903471461213082e-09,18.137980265517918,1.0,18.50224530931953,0.05985981839566894
304104400003613,zg,58387.50465,18.1838,0.04302066,-0.029117966,18.11,0.013,5.3269669216884146e-08,2.110730320725155e-09,4.736789759224409e-08,2.1978579267578583e-09,21.551846921296786,1.0,18.311289727136717,0.05037787289057082
304104400003613,zg,58389.44164,18.344788,0.047952194,-0.01865331,18.11,0.013,4.5928768423508876e-08,2.0284717447695305e-09,4.002699679886882e-08,2.1189843318703845e-09,18.889708714145044,1.0,18.494117483805905,0.057477657341804614
304104400003613,zg,58389.46058,18.383694,0.049250674,-0.03212154,18.11,0.013,4.431210691567845e-08,2.010065725351215e-09,3.841033529103839e-08,2.1013712664866106e-09,18.278700153380598,1.0,18.53887975445023,0.05939898327821332
304104400003613,zg,58390.47326,18.335514,0.047649063,-0.024059864,18.11,0.013,4.632275705624132e-08,2.032939455858198e-09,4.0420985431601264e-08,2.12326159729998e-09,19.037214012160405,1.0,18.483482757340635,0.057032305465736406
304204400005857,zr,58397.46158,18.31772,0.04877832,0.09997564,18.157,0.012,4.7088190311232964e-08,2.1155072522739532e-09,4.1186418686592906e-08,2.2024458935028407e-09,18.700308964724986,1.0,18.46311492483524,0.05805980033838958
304104400003613,zg,58397.46304,18.2547,0.045107733,-0.098087914,18.11,0.013,4.990223533840898e-08,2.073226164775051e-09,4.4000463713768925e-08,2.161865793635605e-09,20.35300426293967,1.0,18.391356866326017,0.053345255114750904
304204400005857,zr,58422.36817,17.882454,0.035610586,0.098457396,18.157,0.012,7.031021079775651e-08,2.306073793357022e-09,6.440843917311646e-08,2.3860790682187967e-09,26.99342198295098,1.0,17.977643062726433,0.040222251385684984
304204400005857,zr,58422.36909,18.083881,0.04108281,0.103974976,18.157,0.012,5.840467344147144e-08,2.209954951849966e-09,5.250290181683138e-08,2.2933159112058725e-09,22.893881109133492,1.0,18.19954173157034,0.04742473325437932
304104400003613,zg,58422.44292,17.865423,0.035105657,-0.06805208,18.11,0.013,7.142180143844587e-08,2.3093171735750883e-09,6.552002981380582e-08,2.3892138429936887e-09,27.423258912525437,1.0,17.959064784072684,0.03959180082211983
304104400003613,zg,58422.44384,17.835556,0.034472622,-0.046182875,18.11,0.013,7.34137823626588e-08,2.3309212291967224e-09,6.751201073801875e-08,2.4101018144683835e-09,28.012099046077203,1.0,17.92654739261787,0.03875954468717957
304204400005857,zr,58423.36091,17.878601,0.035515256,0.116657004,18.157,0.012,7.056016699966519e-08,2.30807666117583e-09,6.465839537502513e-08,2.388014835223685e-09,27.07621176439157,1.0,17.973437693651523,0.040099265517859535
304104400003613,zg,58423.41827,17.863964,0.035074327,-0.031105312,18.11,0.013,7.151784175981014e-08,2.3103587752023465e-09,6.561607013517009e-08,2.3902206277953343e-09,27.45188848767167,1.0,17.957474459627992,0.039550510532115904
304104400003613,zg,58424.36261,17.865383,0.03510481,-0.07526643,18.11,0.013,7.142443276332122e-08,2.3093465342004775e-09,6.552266113868117e-08,2.389242221794934e-09,27.42403450808635,1.0,17.95902118111149,0.039590681102665094
304104400003613,zg,58425.37573,17.817635,0.034100916,-0.09476425,18.11,0.013,7.463559510436757e-08,2.3441625581888315e-09,6.873382347972752e-08,2.42291045616594e-09,28.368288768084827,1.0,17.907073741931068,0.03827288327590684
304104400003613,zg,58425.37664,17.851822,0.034815263,-0.0896553,18.11,0.013,7.232212861642823e-08,2.319084430883184e-09,6.642035699178818e-08,2.398655785424123e-09,27.690657990781254,1.0,17.9442469862845,0.039209476536079126
304204400005857,zr,58425.45813,17.96931,0.03785002,0.11272011,18.157,0.012,6.490467804901685e-08,2.2626521538867882e-09,5.900290642437679e-08,2.344139873999066e-09,25.170386408605708,1.0,18.072816487293796,0.043135460343466096
304204400005857,zr,58425.45904,17.941048,0.03710201,0.10580483,18.157,0.012,6.66163448730331e-08,2.2764279967925753e-09,6.071457324839304e-08,2.3574395864931286e-09,25.754455637487027,1.0,18.041767633031846,0.04215721815442997
304104400003613,zg,58426.38133,17.830908,0.034375638,-0.10258769,18.11,0.013,7.372873796005393e-08,2.334335352551202e-09,6.782696633541388e-08,2.413403927558373e-09,28.104274448593458,1.0,17.921494017460287,0.03863242250726269
304204400005857,zr,58426.40401,17.95132,0.037371684,0.09898155,18.157,0.012,6.598906881671312e-08,2.2713828796211476e-09,6.008729719207306e-08,2.352568206284335e-09,25.541149893790084,1.0,18.053043326752054,0.04250929223128316
304204400005857,zr,58427.44436,17.937565,0.037011135,0.11570369,18.157,0.012,6.683039068790097e-08,2.2781487814562308e-09,6.092861906326092e-08,2.3591012801137524e-09,25.82704675584044,1.0,18.037946662435505,0.042038728431565836
304104400003613,zg,58428.31788,17.801577,0.03377298,-0.059721474,18.11,0.013,7.574765631327918e-08,2.356211454038368e-09,6.984588468863913e-08,2.434569653044545e-09,28.68921191114558,1.0,17.889647943440238,0.0378447553080511
304104400003613,zg,58428.33404,17.83957,0.034556676,-0.06924745,18.11,0.013,7.314287045432452e-08,2.3279821239479945e-09,6.724109882968447e-08,2.4072593854433823e-09,27.932635442731748,1.0,17.930912995228606,0.03886980900832418
304204400005857,zr,58428.36128,17.945492,0.037218377,0.1026933,18.157,0.012,6.634423641991534e-08,2.2742400889206885e-09,6.044246479527529e-08,2.3553269330260324e-09,25.662027613984424,1.0,18.046644584477434,0.042309057611895864
304204400005857,zr,58429.38682,17.895302,0.03593088,0.10407073,18.157,0.012,6.948310218748034e-08,2.2994434520881256e-09,6.358133056284029e-08,2.3796716514542067e-09,26.71853090487758,1.0,17.991675969676386,0.04063607421469134
304104400003613,zg,58429.42291,17.757656,0.032900147,-0.040250164,18.11,0.013,7.887467813059524e-08,2.3900727393099655e-09,7.297290650595519e-08,2.467355807048606e-09,29.57534794839488,1.0,17.842095888707124,0.03671085143791367
304104400003613,zg,58430.36544,17.765354,0.033050597,-0.07824953,18.11,0.013,7.831742502635076e-08,2.384039181230271e-09,7.241565340171071e-08,2.4615116893943317e-09,29.419179162837523,1.0,17.85041886588892,0.036905727340266446
304104400003613,zg,58430.40762,17.765133,0.03304627,-0.056039363,18.11,0.013,7.833336804501292e-08,2.3842123151834472e-09,7.243159642037287e-08,2.4616793745848074e-09,29.423651661617935,1.0,17.850179856689007,0.03690011753960615
304204400005857,zr,58430.45971,17.874912,0.035424277,0.1184911,18.157,0.012,7.08003166419967e-08,2.3099994431635643e-09,6.489854501735665e-08,2.389873303503726e-09,27.15564248624005,1.0,17.96941259921697,0.03998197447577532
304204400005857,zr,58431.33871,17.886478,0.03571052,0.11066687,18.157,0.012,7.005010651650074e-08,2.30399034203423e-09,6.414833489186069e-08,2.384065535083053e-09,26.90711893103474,1.0,17.98203653047758,0.04035126196680383
304204400005857,zr,58431.34258,17.840324,0.034586053,0.11146714,18.157,0.012,7.309209331445979e-08,2.328343664120521e-09,6.719032168981974e-08,2.4076090209238725e-09,27.907488759963513,1.0,17.931733199040096,0.0389048335411584
304104400003613,zg,58431.41645,17.808382,0.03391138,-0.038787525,18.11,0.013,7.527438223274546e-08,2.3510850692581792e-09,6.937261060810541e-08,2.429608606807395e-09,28.552998377489224,1.0,17.897029904901473,0.038025295641599184
304104400003613,zg,58431.42182,17.694422,0.031703487,-0.031039903,18.11,0.013,8.360479763379254e-08,2.4412593070994084e-09,7.770302600915249e-08,2.516971192501678e-09,30.871638992388146,1.0,17.773905170066968,0.03516937358025707
304204400005857,zr,58432.38621,17.85304,0.03489117,0.104333356,18.157,0.012,7.224104173627622e-08,2.3215348785011915e-09,6.633927011163617e-08,2.4010250251676633e-09,27.62956213128337,1.0,17.945573277633468,0.03929617847721201
304204400005857,zr,58432.40113,17.817688,0.034051567,0.11689749,18.157,0.012,7.463195187134585e-08,2.3406559515568917e-09,6.87301802467058e-08,2.419517981529076e-09,28.406558980508176,1.0,17.907131292851858,0.03822132084013177
304104400003613,zg,58432.43692,17.783123,0.033401985,-0.037150893,18.11,0.013,7.704612482982981e-08,2.370275113417078e-09,7.114435320518976e-08,2.4481832228548943e-09,29.06006075894367,1.0,17.869648911442127,0.03736180091860193
304204400005857,zr,58434.33818,17.836674,0.034499124,0.10910558,18.157,0.012,7.333822591992274e-08,2.330312408173827e-09,6.743645429528269e-08,2.409513000395046e-09,27.98758682116523,1.0,17.927763180792017,0.0387934912608134
304104400003613,zg,58434.39644,17.770327,0.033148374,-0.04942322,18.11,0.013,7.795952781136916e-08,2.3801652495601895e-09,7.205775618672911e-08,2.4577598732581172e-09,29.318468810057553,1.0,17.855798163849403,0.03703250029161391
304104400003613,zg,58434.39826,17.724457,0.032263223,-0.04855839,18.11,0.013,8.132371318367586e-08,2.416576956846965e-09,7.542194155903581e-08,2.4930385411677003e-09,30.253018681255266,1.0,17.806255729762277,0.03588852458650186
304104400003613,zg,58435.40558,17.587223,0.029827382,-0.049761076,18.11,0.013,9.228068295352331e-08,2.5351380654095466e-09,8.637891132888326e-08,2.6081261453526927e-09,33.119146281631394,1.0,17.65898068464229,0.03278273526513884
304204400005857,zr,58437.35951,17.770744,0.032977793,0.11069338,18.157,0.012,7.792959155167277e-08,2.3670076833609156e-09,7.202781992703271e-08,2.445019908400225e-09,29.45899118431329,1.0,17.85624932464331,0.03685585151117723
304104400003613,zg,58437.42157,17.618889,0.030362353,-0.028856324,18.11,0.013,8.96281433311305e-08,2.5064295679083588e-09,8.372637170649045e-08,2.5802298653936085e-09,32.449190992415,1.0,17.69284432148339,0.033459577004921956
304204400005857,zr,58449.31883,17.68291,0.031089151,0.12037362,18.157,0.012,8.449597078802235e-08,2.419471675724044e-09,7.85941991633823e-08,2.4958445803003738e-09,31.490021367405625,1.0,17.761523767353825,0.03447873826728941
304204400005857,zr,58449.41741,17.773586,0.033041496,0.10546364,18.157,0.012,7.772587145311793e-08,2.3653803377467966e-09,7.182409982847788e-08,2.4434445198495886e-09,29.3946104546295,1.0,17.859324520787816,0.03693657401699405
304204400005857,zr,58456.25468,17.657658,0.030573986,0.10696953,18.157,0.012,8.648420548806872e-08,2.435367703706979e-09,8.058243386342867e-08,2.5112572213221885e-09,32.08848268478115,1.0,17.734399048949708,0.03383569785532645
304204400005857,zr,58456.29464,17.678337,0.030994939,0.11484925,18.157,0.012,8.485260894139854e-08,2.4223208423959576e-09,7.895083731675849e-08,2.498606660298835e-09,31.597945595532796,1.0,17.756608149252596,0.0343609745600558
304204400005857,zr,58462.31753,17.769066,0.03294025,0.098829135,18.157,0.012,7.805012447221276e-08,2.3679698635623445e-09,7.21483528475727e-08,2.4459514006053567e-09,29.497050852979527,1.0,17.854433948584074,0.03680829687583694
304104400003613,zg,58469.17656,17.717043,0.032123625,-0.047469236,18.11,0.013,8.188093627527438e-08,2.422607333188975e-09,7.597916465063432e-08,2.498884405130584e-09,30.405233829399116,1.0,17.798263713963458,0.035708858904032525
304104400003613,zg,58472.23449,17.768356,0.033109583,-0.045480754,18.11,0.013,7.810118080721917e-08,2.3816996403013864e-09,7.219940918257911e-08,2.459245851068085e-09,29.35835355835688,1.0,17.853665890764113,0.036982189842491145
304204400005857,zr,58472.27588,17.768185,0.032920573,0.122045696,18.157,0.012,7.811348246357317e-08,2.3684764222255487e-09,7.221171083893312e-08,2.446441812515101e-09,29.517035912942802,1.0,17.85348091396022,0.036783375131581204
304204400005857,zr,58476.31371,17.871428,0.035338636,0.11325478,18.157,0.012,7.102787144819151e-08,2.3118213097826958e-09,6.512609982355146e-08,2.3916343256754816e-09,27.23079323807479,1.0,17.965612323597025,0.03987163338451799
304104400003613,zg,58481.277,17.744299,0.032641564,-0.042042412,18.11,0.013,7.985100747969272e-08,2.40064000784934e-09,7.394923585505267e-08,2.4775934748603762e-09,29.847203185429784,1.0,17.827665773425622,0.03637648050347789
304204400005857,zr,58486.13135,17.849491,0.03480566,0.10353723,18.157,0.012,7.247756598555626e-08,2.323427650533957e-09,6.65757943609162e-08,2.402855182205032e-09,27.70695248467762,1.0,17.941709107490883,0.03918641739319973
304104400003613,zg,58487.20027,17.851662,0.034811847,-0.07369445,18.11,0.013,7.233278718449685e-08,2.319198631781106e-09,6.64310155598568e-08,2.398766198077501e-09,27.69382677357141,1.0,17.944072770647196,0.03920499010971869
304104400003613,zg,58487.20118,17.823193,0.03421556,-0.04628647,18.11,0.013,7.425450374963982e-08,2.3400338104061027e-09,6.835273212499977e-08,2.4189161236445423e-09,28.257586716985376,1.0,17.913110303943863,0.038422821298660426
304204400005857,zr,58490.21157,17.892338,0.035856664,0.1106832,18.157,0.012,6.967304637759872e-08,2.3009668489175142e-09,6.377127475295867e-08,2.3811437208201503e-09,26.781783138648002,1.0,17.988437254041095,0.04054010142406596
304104400003613,zg,58491.19177,17.849121,0.03475801,-0.07114574,18.11,0.013,7.250226928747108e-08,2.3210376423599164e-09,6.660049766283103e-08,2.4005442542547542e-09,27.743915799422354,1.0,17.941306314033188,0.03913420919410141
304104400003613,zg,58491.19589,17.87553,0.035323806,-0.053744275,18.11,0.013,7.076002863712148e-08,2.302137032161456e-09,6.485825701248143e-08,2.382274521173618e-09,27.225349738672968,1.0,17.970086816618014,0.03987960541112414
304104400003613,zg,58495.23535,17.831758,0.034393344,-0.036364716,18.11,0.013,7.367103987270556e-08,2.333709980449748e-09,6.77692682480655e-08,2.412799049285829e-09,28.087406727105897,1.0,17.922418009285764,0.03865562297391928
304104400003613,zg,58495.23627,17.87719,0.03535981,-0.05625244,18.11,0.013,7.065192512335559e-08,2.300962828307466e-09,6.475015349871554e-08,2.3811398355906207e-09,27.1929235448093,1.0,17.971897994233913,0.03992715983513216
304104400003613,zg,58503.21171,17.97787,0.03764818,-0.03625567,18.11,0.013,6.439497812423863e-08,2.2329123012504438e-09,5.849320649959857e-08,2.3154468951931047e-09,25.26216715271301,1.0,18.082236426720257,0.04297874359688607
304104400003613,zg,58503.23152,17.83588,0.034479402,-0.08439567,18.11,0.013,7.339187785521541e-08,2.3306840547595014e-09,6.749010623057536e-08,2.4098724328258594e-09,28.005675865354938,1.0,17.926899720677927,0.038768434298036863
304204400005857,zr,58503.25432,18.017317,0.039164655,0.07724491,18.157,0.012,6.209736900465544e-08,2.2399750720450623e-09,5.6195597380015386e-08,2.3222586640525464e-09,24.198681331195512,1.0,18.125744269282954,0.044867577282339866
304204400005857,zr,58505.14202,17.981745,0.038185123,0.117676154,18.157,0.012,6.416556164139156e-08,2.256689841328857e-09,5.82637900167515e-08,2.338385344493225e-09,24.91624836512069,1.0,18.086503170630934,0.04357542872618056
304104400003613,zg,58505.19239,18.032398,0.03897655,-0.038439233,18.11,0.013,6.124079219735379e-08,2.1984666152415116e-09,5.5339020572713734e-08,2.2822472341346597e-09,24.247601112197714,1.0,18.142421328908792,0.04477705649042337
304104400003613,zg,58507.19092,18.084473,0.040306836,-0.047336113,18.11,0.013,5.8372836847980516e-08,2.167031320660849e-09,5.247106522334046e-08,2.2519817326321586e-09,23.29995153291554,1.0,18.20020029757911,0.04659821730634607
304104400003613,zg,58507.19322,18.070204,0.039936204,-0.06125643,18.11,0.013,5.9145049554313584e-08,2.175508889028314e-09,5.3243277929673526e-08,2.2601406827065095e-09,23.557506104405373,1.0,18.184338037438057,0.04608875828987226
304204400005857,zr,58507.24818,18.158764,0.043379426,0.108677216,18.157,0.012,5.4512286656958705e-08,2.177979968580965e-09,4.8610515032318647e-08,2.2625193309502964e-09,21.485126941170225,1.0,18.28317444379024,0.0505343164939659
304104400003613,zg,58509.21071,18.0181,0.038621984,-0.04625515,18.11,0.013,6.205260241080905e-08,2.2073452160532124e-09,5.6150830786168994e-08,2.290801144188827e-09,24.511438248845476,1.0,18.12660953425076,0.04429508353347113
304104400003613,zg,58510.19057,18.14109,0.04182459,-0.051100854,18.11,0.013,5.5406918857570985e-08,2.1343781797323574e-09,4.9505147232930927e-08,2.2205781214587898e-09,22.293810226504863,1.0,18.263374108795233,0.048701240107772596
304104400003613,zg,58510.19148,18.117727,0.041189067,-0.047636636,18.11,0.013,5.661209150887281e-08,2.1476664588969384e-09,5.071031988423275e-08,2.2333535765871804e-09,22.705907571394906,1.0,18.237259124709052,0.04781734451019915
304104400003613,zg,58511.15341,18.169031,0.04260197,-0.08585251,18.11,0.013,5.3999234095538204e-08,2.1188146263148465e-09,4.8097462470898146e-08,2.2056229052287155e-09,21.806747815719934,1.0,18.294694588896853,0.04978900173163143
304104400003613,zg,58523.14736,18.243513,0.044769794,-0.06368331,18.11,0.013,5.0419066438447465e-08,2.079005202395785e-09,4.451729481380741e-08,2.1674085011765954e-09,20.53941137060265,1.0,18.378678085861925,0.05286111588923655
304204400005857,zr,58523.18445,18.10424,0.041692387,0.11245234,18.157,0.012,5.7319712047502925e-08,2.2010831055831202e-09,5.141794042286287e-08,2.2847677818691484e-09,22.50466801523186,1.0,18.222213308191453,0.04824493318556263
304204400005857,zr,58534.18961,18.251587,0.046442147,0.111029394,18.157,0.012,5.004551928972529e-08,2.1406869858065814e-09,4.414374766508523e-08,2.226642708335916e-09,19.82524969085683,1.0,18.387826998440218,0.05476532309496502
304204400005857,zr,58534.19052,18.213413,0.045152783,0.12810606,18.157,0.012,5.183639612370674e-08,2.155733165587105e-09,4.5934624499066684e-08,2.241111880428114e-09,20.496354912139374,1.0,18.344649573733406,0.052972160631112056
304104400003613,zg,58539.14751,18.182598,0.04298639,-0.04525562,18.11,0.013,5.332867581401119e-08,2.1113851105622235e-09,4.742690418937113e-08,2.198486766957602e-09,21.572522019317557,1.0,18.30993805793354,0.050329590753732216
304104400003613,zg,58539.14842,18.166004,0.04251683,-0.032743797,18.11,0.013,5.414999239903689e-08,2.120483789010265e-09,4.8248220774396835e-08,2.207226422195776e-09,21.85920768672156,1.0,18.29129674321543,0.04966951320095939
304204400005857,zr,58539.16876,18.169582,0.04372386,0.11884667,18.157,0.012,5.397183698994741e-08,2.1735086608970452e-09,4.8070065365307354e-08,2.2582154189488436e-09,21.286749245420996,1.0,18.29531321830159,0.051005261171650385
304204400005857,zr,58540.1911,18.202505,0.044792052,0.10932433,18.157,0.012,5.235980253221825e-08,2.1601038884535645e-09,4.645803090757819e-08,2.245316411621321e-09,20.69108419068264,1.0,18.33234800356372,0.05247362558444594
304204400005857,zr,58557.11646,18.408468,0.052205052,0.11177475,18.157,0.012,4.331245492613936e-08,2.082576736188396e-09,3.7410683301499304e-08,2.1708345956099348e-09,17.233318179632246,1.0,18.56751089848601,0.06300215625574314
304204400005857,zr,58558.14824,18.319176,0.04883124,0.11911316,18.157,0.012,4.702508616613087e-08,2.1149642597674666e-09,4.112331454149081e-08,2.201924340089274e-09,18.676079732977346,1.0,18.46477972110524,0.05813512365986462
304204400005857,zr,58722.49942,19.814518,0.14780535,0.09445968,18.157,0.012,1.1862952733187419e-08,1.6149483392725502e-09,5.961181108547363e-09,1.7272681082863204e-09,3.4512193445530857,1.0,20.561669208826775,0.3145949580028002
304104400003613,zg,58733.48206,19.78653,0.1355887,-0.056009814,18.11,0.013,1.2172730303929862e-08,1.5201525657221081e-09,6.270958679289806e-09,1.6389816357895362e-09,3.8261311428721023,1.0,20.506665152189974,0.2837686854463428
304204400005857,zr,58733.50602,19.88227,0.15448405,0.11172435,18.157,0.012,1.1145306083299948e-08,1.5858106367756006e-09,5.243534458659892e-09,1.7000565740864249e-09,3.084329391495491,1.0,20.700939684050084,0.35201694337571754
304204400005857,zr,58741.46055,19.754734,0.14201951,0.110618,18.157,0.012,1.2534482259425601e-08,1.6395704783408968e-09,6.6327106347855455e-09,1.7503109246162045e-09,3.7894470870882087,1.0,20.445772373125667,0.28651573166374616
304104400003613,zg,58741.50228,19.788357,0.13576204,-0.05720877,18.11,0.013,1.2152264119726623e-08,1.5195368453982997e-09,6.250492495086567e-09,1.6384105724472275e-09,3.8149732430928225,1.0,20.51021440485109,0.2845986421330485
